#Records,Hour,Month,Day,Year
424,00,Jan,01,2021
190,01,Jan,01,2021
122,02,Jan,01,2021
100,03,Jan,01,2021
61,04,Jan,01,2021
88,05,Jan,01,2021
172,06,Jan,01,2021
320,07,Jan,01,2021
521,08,Jan,01,2021
808,09,Jan,01,2021
1125,10,Jan,01,2021
1200,11,Jan,01,2021
1006,12,Jan,01,2021
959,13,Jan,01,2021
900,14,Jan,01,2021
854,15,Jan,01,2021
858,16,Jan,01,2021
810,17,Jan,01,2021
788,18,Jan,01,2021
624,19,Jan,01,2021
2,20,Dec,31,2020
409,20,Jan,01,2021
27,21,Dec,31,2020
286,21,Jan,01,2021
1006,22,Dec,31,2020
41,22,Jan,01,2021
534,23,Dec,31,2020
100,00,Jan,02,2021
50,01,Jan,02,2021
36,02,Jan,02,2021
62,03,Jan,02,2021
43,04,Jan,02,2021
58,05,Jan,02,2021
126,06,Jan,02,2021
201,07,Jan,02,2021
354,08,Jan,02,2021
577,09,Jan,02,2021
719,10,Jan,02,2021
785,11,Jan,02,2021
785,12,Jan,02,2021
635,13,Jan,02,2021
642,14,Jan,02,2021
736,15,Jan,02,2021
687,16,Jan,02,2021
683,17,Jan,02,2021
712,18,Jan,02,2021
479,19,Jan,02,2021
451,20,Jan,02,2021
10,21,Jan,01,2021
339,21,Jan,02,2021
157,22,Jan,01,2021
28,22,Jan,02,2021
157,23,Jan,01,2021
103,00,Jan,03,2021
68,01,Jan,03,2021
57,02,Jan,03,2021
45,03,Jan,03,2021
87,04,Jan,03,2021
69,05,Jan,03,2021
119,06,Jan,03,2021
213,07,Jan,03,2021
339,08,Jan,03,2021
583,09,Jan,03,2021
651,10,Jan,03,2021
714,11,Jan,03,2021
703,12,Jan,03,2021
698,13,Jan,03,2021
727,14,Jan,03,2021
728,15,Jan,03,2021
787,16,Jan,03,2021
667,17,Jan,03,2021
691,18,Jan,03,2021
544,19,Jan,03,2021
424,20,Jan,03,2021
15,21,Jan,02,2021
284,21,Jan,03,2021
204,22,Jan,02,2021
26,22,Jan,03,2021
174,23,Jan,02,2021
124,00,Jan,04,2021
71,01,Jan,04,2021
62,02,Jan,04,2021
57,03,Jan,04,2021
62,04,Jan,04,2021
93,05,Jan,04,2021
179,06,Jan,04,2021
331,07,Jan,04,2021
564,08,Jan,04,2021
795,09,Jan,04,2021
887,10,Jan,04,2021
1025,11,Jan,04,2021
999,12,Jan,04,2021
1113,13,Jan,04,2021
1103,14,Jan,04,2021
944,15,Jan,04,2021
1084,16,Jan,04,2021
1087,17,Jan,04,2021
938,18,Jan,04,2021
774,19,Jan,04,2021
528,20,Jan,04,2021
5,21,Jan,03,2021
465,21,Jan,04,2021
143,22,Jan,03,2021
63,22,Jan,04,2021
147,23,Jan,03,2021
112,00,Jan,05,2021
56,01,Jan,05,2021
58,02,Jan,05,2021
35,03,Jan,05,2021
73,04,Jan,05,2021
102,05,Jan,05,2021
168,06,Jan,05,2021
291,07,Jan,05,2021
501,08,Jan,05,2021
683,09,Jan,05,2021
908,10,Jan,05,2021
867,11,Jan,05,2021
989,12,Jan,05,2021
919,13,Jan,05,2021
952,14,Jan,05,2021
988,15,Jan,05,2021
1053,16,Jan,05,2021
1123,17,Jan,05,2021
936,18,Jan,05,2021
1,19,Jan,04,2021
671,19,Jan,05,2021
551,20,Jan,05,2021
11,21,Jan,04,2021
419,21,Jan,05,2021
326,22,Jan,04,2021
12,22,Jan,05,2021
265,23,Jan,04,2021
160,00,Jan,06,2021
85,01,Jan,06,2021
93,02,Jan,06,2021
40,03,Jan,06,2021
45,04,Jan,06,2021
115,05,Jan,06,2021
173,06,Jan,06,2021
342,07,Jan,06,2021
513,08,Jan,06,2021
765,09,Jan,06,2021
885,10,Jan,06,2021
961,11,Jan,06,2021
973,12,Jan,06,2021
909,13,Jan,06,2021
986,14,Jan,06,2021
1094,15,Jan,06,2021
1133,16,Jan,06,2021
1112,17,Jan,06,2021
978,18,Jan,06,2021
854,19,Jan,06,2021
651,20,Jan,06,2021
16,21,Jan,05,2021
489,21,Jan,06,2021
317,22,Jan,05,2021
18,22,Jan,06,2021
289,23,Jan,05,2021
188,00,Jan,07,2021
111,01,Jan,07,2021
79,02,Jan,07,2021
55,03,Jan,07,2021
83,04,Jan,07,2021
96,05,Jan,07,2021
146,06,Jan,07,2021
261,07,Jan,07,2021
488,08,Jan,07,2021
725,09,Jan,07,2021
944,10,Jan,07,2021
998,11,Jan,07,2021
955,12,Jan,07,2021
939,13,Jan,07,2021
976,14,Jan,07,2021
1015,15,Jan,07,2021
1032,16,Jan,07,2021
1192,17,Jan,07,2021
1140,18,Jan,07,2021
1,19,Jan,06,2021
958,19,Jan,07,2021
1,20,Jan,06,2021
727,20,Jan,07,2021
27,21,Jan,06,2021
492,21,Jan,07,2021
385,22,Jan,06,2021
10,22,Jan,07,2021
357,23,Jan,06,2021
162,00,Jan,08,2021
99,01,Jan,08,2021
58,02,Jan,08,2021
48,03,Jan,08,2021
72,04,Jan,08,2021
90,05,Jan,08,2021
213,06,Jan,08,2021
318,07,Jan,08,2021
607,08,Jan,08,2021
769,09,Jan,08,2021
924,10,Jan,08,2021
1019,11,Jan,08,2021
1009,12,Jan,08,2021
1095,13,Jan,08,2021
1084,14,Jan,08,2021
1240,15,Jan,08,2021
1319,16,Jan,08,2021
1141,17,Jan,08,2021
1010,18,Jan,08,2021
811,19,Jan,08,2021
2,20,Jan,07,2021
692,20,Jan,08,2021
28,21,Jan,07,2021
482,21,Jan,08,2021
422,22,Jan,07,2021
18,22,Jan,08,2021
303,23,Jan,07,2021
143,00,Jan,09,2021
98,01,Jan,09,2021
142,02,Jan,09,2021
96,03,Jan,09,2021
66,04,Jan,09,2021
94,05,Jan,09,2021
145,06,Jan,09,2021
254,07,Jan,09,2021
431,08,Jan,09,2021
702,09,Jan,09,2021
803,10,Jan,09,2021
748,11,Jan,09,2021
792,12,Jan,09,2021
879,13,Jan,09,2021
891,14,Jan,09,2021
921,15,Jan,09,2021
976,16,Jan,09,2021
840,17,Jan,09,2021
853,18,Jan,09,2021
735,19,Jan,09,2021
1,20,Jan,08,2021
576,20,Jan,09,2021
18,21,Jan,08,2021
351,21,Jan,09,2021
358,22,Jan,08,2021
5,22,Jan,09,2021
304,23,Jan,08,2021
123,00,Jan,10,2021
122,01,Jan,10,2021
80,02,Jan,10,2021
77,03,Jan,10,2021
80,04,Jan,10,2021
117,05,Jan,10,2021
123,06,Jan,10,2021
217,07,Jan,10,2021
508,08,Jan,10,2021
670,09,Jan,10,2021
759,10,Jan,10,2021
841,11,Jan,10,2021
904,12,Jan,10,2021
833,13,Jan,10,2021
882,14,Jan,10,2021
958,15,Jan,10,2021
976,16,Jan,10,2021
904,17,Jan,10,2021
782,18,Jan,10,2021
626,19,Jan,10,2021
4,20,Jan,09,2021
457,20,Jan,10,2021
12,21,Jan,09,2021
310,21,Jan,10,2021
240,22,Jan,09,2021
28,22,Jan,10,2021
149,23,Jan,09,2021
118,00,Jan,11,2021
81,01,Jan,11,2021
53,02,Jan,11,2021
55,03,Jan,11,2021
81,04,Jan,11,2021
138,05,Jan,11,2021
293,06,Jan,11,2021
554,07,Jan,11,2021
980,08,Jan,11,2021
1186,09,Jan,11,2021
1337,10,Jan,11,2021
1451,11,Jan,11,2021
1369,12,Jan,11,2021
1309,13,Jan,11,2021
1384,14,Jan,11,2021
1273,15,Jan,11,2021
1360,16,Jan,11,2021
1301,17,Jan,11,2021
1219,18,Jan,11,2021
984,19,Jan,11,2021
710,20,Jan,11,2021
16,21,Jan,10,2021
481,21,Jan,11,2021
188,22,Jan,10,2021
162,22,Jan,11,2021
165,23,Jan,10,2021
187,00,Jan,12,2021
106,01,Jan,12,2021
97,02,Jan,12,2021
68,03,Jan,12,2021
96,04,Jan,12,2021
143,05,Jan,12,2021
230,06,Jan,12,2021
514,07,Jan,12,2021
910,08,Jan,12,2021
1220,09,Jan,12,2021
1414,10,Jan,12,2021
1281,11,Jan,12,2021
1348,12,Jan,12,2021
1510,13,Jan,12,2021
1074,14,Jan,12,2021
1419,15,Jan,12,2021
1431,16,Jan,12,2021
1265,17,Jan,12,2021
1156,18,Jan,12,2021
938,19,Jan,12,2021
714,20,Jan,12,2021
23,21,Jan,11,2021
577,21,Jan,12,2021
225,22,Jan,11,2021
200,22,Jan,12,2021
282,23,Jan,11,2021
197,00,Jan,13,2021
115,01,Jan,13,2021
73,02,Jan,13,2021
66,03,Jan,13,2021
65,04,Jan,13,2021
134,05,Jan,13,2021
240,06,Jan,13,2021
566,07,Jan,13,2021
923,08,Jan,13,2021
1244,09,Jan,13,2021
1479,10,Jan,13,2021
1426,11,Jan,13,2021
1625,12,Jan,13,2021
8229,13,Jan,13,2021
8993,14,Jan,13,2021
10504,15,Jan,13,2021
9582,16,Jan,13,2021
8470,17,Jan,13,2021
7688,18,Jan,13,2021
6134,19,Jan,13,2021
2,20,Jan,12,2021
4666,20,Jan,13,2021
10,21,Jan,12,2021
2835,21,Jan,13,2021
233,22,Jan,12,2021
712,22,Jan,13,2021
349,23,Jan,12,2021
435,00,Jan,14,2021
252,01,Jan,14,2021
176,02,Jan,14,2021
201,03,Jan,14,2021
190,04,Jan,14,2021
322,05,Jan,14,2021
1043,06,Jan,14,2021
2388,07,Jan,14,2021
5584,08,Jan,14,2021
8773,09,Jan,14,2021
9847,10,Jan,14,2021
10010,11,Jan,14,2021
9155,12,Jan,14,2021
8857,13,Jan,14,2021
9163,14,Jan,14,2021
8931,15,Jan,14,2021
9176,16,Jan,14,2021
8745,17,Jan,14,2021
7702,18,Jan,14,2021
6458,19,Jan,14,2021
6,20,Jan,13,2021
4647,20,Jan,14,2021
109,21,Jan,13,2021
2720,21,Jan,14,2021
808,22,Jan,13,2021
686,22,Jan,14,2021
836,23,Jan,13,2021
437,00,Jan,15,2021
250,01,Jan,15,2021
199,02,Jan,15,2021
164,03,Jan,15,2021
244,04,Jan,15,2021
422,05,Jan,15,2021
1071,06,Jan,15,2021
2734,07,Jan,15,2021
5768,08,Jan,15,2021
8328,09,Jan,15,2021
9208,10,Jan,15,2021
9899,11,Jan,15,2021
8795,12,Jan,15,2021
9731,13,Jan,15,2021
10431,14,Jan,15,2021
9365,15,Jan,15,2021
8855,16,Jan,15,2021
8248,17,Jan,15,2021
7508,18,Jan,15,2021
5970,19,Jan,15,2021
10,20,Jan,14,2021
4518,20,Jan,15,2021
125,21,Jan,14,2021
2832,21,Jan,15,2021
926,22,Jan,14,2021
790,22,Jan,15,2021
861,23,Jan,14,2021
531,00,Jan,16,2021
365,01,Jan,16,2021
201,02,Jan,16,2021
151,03,Jan,16,2021
203,04,Jan,16,2021
271,05,Jan,16,2021
521,06,Jan,16,2021
1186,07,Jan,16,2021
2709,08,Jan,16,2021
4596,09,Jan,16,2021
5674,10,Jan,16,2021
6182,11,Jan,16,2021
5951,12,Jan,16,2021
5598,13,Jan,16,2021
5272,14,Jan,16,2021
5336,15,Jan,16,2021
5582,16,Jan,16,2021
5952,17,Jan,16,2021
5731,18,Jan,16,2021
