#Records,Hour,Month,Day,Year
1233,00,Feb,01,2021
879,01,Feb,01,2021
717,02,Feb,01,2021
981,03,Feb,01,2021
2064,04,Feb,01,2021
3277,05,Feb,01,2021
5839,06,Feb,01,2021
9293,07,Feb,01,2021
14843,08,Feb,01,2021
20557,09,Feb,01,2021
26975,10,Feb,01,2021
24953,11,Feb,01,2021
23234,12,Feb,01,2021
23705,13,Feb,01,2021
24162,14,Feb,01,2021
26387,15,Feb,01,2021
25695,16,Feb,01,2021
24623,17,Feb,01,2021
20992,18,Feb,01,2021
2,18,Jan,31,2021
17088,19,Feb,01,2021
1,19,Jan,31,2021
13238,20,Feb,01,2021
9,20,Jan,31,2021
8727,21,Feb,01,2021
164,21,Jan,31,2021
1392,22,Feb,01,2021
2652,22,Jan,31,2021
2137,23,Jan,31,2021
1638,00,Feb,02,2021
1056,01,Feb,02,2021
832,02,Feb,02,2021
1072,03,Feb,02,2021
2487,04,Feb,02,2021
3770,05,Feb,02,2021
6525,06,Feb,02,2021
10139,07,Feb,02,2021
16833,08,Feb,02,2021
24891,09,Feb,02,2021
26791,10,Feb,02,2021
28471,11,Feb,02,2021
26032,12,Feb,02,2021
25747,13,Feb,02,2021
25620,14,Feb,02,2021
26233,15,Feb,02,2021
24303,16,Feb,02,2021
22203,17,Feb,02,2021
19623,18,Feb,02,2021
16349,19,Feb,02,2021
16,20,Feb,01,2021
12244,20,Feb,02,2021
198,21,Feb,01,2021
8414,21,Feb,02,2021
3629,22,Feb,01,2021
4630,22,Feb,02,2021
2830,23,Feb,01,2021
1751,00,Feb,03,2021
1100,01,Feb,03,2021
787,02,Feb,03,2021
1164,03,Feb,03,2021
2432,04,Feb,03,2021
3987,05,Feb,03,2021
6640,06,Feb,03,2021
9954,07,Feb,03,2021
15875,08,Feb,03,2021
26987,09,Feb,03,2021
33453,10,Feb,03,2021
32840,11,Feb,03,2021
31477,12,Feb,03,2021
29787,13,Feb,03,2021
31106,14,Feb,03,2021
27105,15,Feb,03,2021
23530,16,Feb,03,2021
23243,17,Feb,03,2021
20076,18,Feb,03,2021
16828,19,Feb,03,2021
3,20,Feb,02,2021
12523,20,Feb,03,2021
32,21,Feb,02,2021
8279,21,Feb,03,2021
595,22,Feb,02,2021
4684,22,Feb,03,2021
3022,23,Feb,02,2021
1717,00,Feb,04,2021
1041,01,Feb,04,2021
823,02,Feb,04,2021
1185,03,Feb,04,2021
2312,04,Feb,04,2021
3585,05,Feb,04,2021
6300,06,Feb,04,2021
12997,07,Feb,04,2021
21957,08,Feb,04,2021
27031,09,Feb,04,2021
28349,10,Feb,04,2021
32695,11,Feb,04,2021
33017,12,Feb,04,2021
28459,13,Feb,04,2021
29008,14,Feb,04,2021
25121,15,Feb,04,2021
23282,16,Feb,04,2021
24476,17,Feb,04,2021
22433,18,Feb,04,2021
17732,19,Feb,04,2021
3,20,Feb,03,2021
13272,20,Feb,04,2021
26,21,Feb,03,2021
8742,21,Feb,04,2021
629,22,Feb,03,2021
2539,22,Feb,04,2021
3049,23,Feb,03,2021
2069,00,Feb,05,2021
1200,01,Feb,05,2021
953,02,Feb,05,2021
986,03,Feb,05,2021
1869,04,Feb,05,2021
2923,05,Feb,05,2021
5706,06,Feb,05,2021
17466,07,Feb,05,2021
27891,08,Feb,05,2021
27687,09,Feb,05,2021
24608,10,Feb,05,2021
34112,11,Feb,05,2021
35547,12,Feb,05,2021
24437,13,Feb,05,2021
20957,14,Feb,05,2021
21047,15,Feb,05,2021
22845,16,Feb,05,2021
25154,17,Feb,05,2021
1,18,Feb,04,2021
21451,18,Feb,05,2021
18614,19,Feb,05,2021
29,20,Feb,04,2021
13659,20,Feb,05,2021
389,21,Feb,04,2021
8804,21,Feb,05,2021
3255,22,Feb,04,2021
2622,22,Feb,05,2021
3610,23,Feb,04,2021
2153,00,Feb,06,2021
1493,01,Feb,06,2021
1022,02,Feb,06,2021
1066,03,Feb,06,2021
1930,04,Feb,06,2021
3023,05,Feb,06,2021
4992,06,Feb,06,2021
7384,07,Feb,06,2021
11054,08,Feb,06,2021
14903,09,Feb,06,2021
16517,10,Feb,06,2021
18072,11,Feb,06,2021
17756,12,Feb,06,2021
16621,13,Feb,06,2021
16175,14,Feb,06,2021
17168,15,Feb,06,2021
19490,16,Feb,06,2021
20034,17,Feb,06,2021
18846,18,Feb,06,2021
15910,19,Feb,06,2021
22,20,Feb,05,2021
12595,20,Feb,06,2021
357,21,Feb,05,2021
8164,21,Feb,06,2021
3111,22,Feb,05,2021
2613,22,Feb,06,2021
3737,23,Feb,05,2021
2134,00,Feb,07,2021
1447,01,Feb,07,2021
1065,02,Feb,07,2021
1129,03,Feb,07,2021
1853,04,Feb,07,2021
2846,05,Feb,07,2021
4707,06,Feb,07,2021
7024,07,Feb,07,2021
10123,08,Feb,07,2021
12741,09,Feb,07,2021
16309,10,Feb,07,2021
18124,11,Feb,07,2021
18341,12,Feb,07,2021
18082,13,Feb,07,2021
17825,14,Feb,07,2021
18831,15,Feb,07,2021
19204,16,Feb,07,2021
19601,17,Feb,07,2021
18472,18,Feb,07,2021
1,19,Feb,06,2021
16245,19,Feb,07,2021
23,20,Feb,06,2021
12308,20,Feb,07,2021
322,21,Feb,06,2021
7712,21,Feb,07,2021
3177,22,Feb,06,2021
125,22,Feb,07,2021
3566,23,Feb,06,2021
1684,00,Feb,08,2021
1125,01,Feb,08,2021
835,02,Feb,08,2021
969,03,Feb,08,2021
2115,04,Feb,08,2021
3501,05,Feb,08,2021
6680,06,Feb,08,2021
11107,07,Feb,08,2021
18360,08,Feb,08,2021
21366,09,Feb,08,2021
23691,10,Feb,08,2021
25087,11,Feb,08,2021
26646,12,Feb,08,2021
24083,13,Feb,08,2021
24280,14,Feb,08,2021
25621,15,Feb,08,2021
26697,16,Feb,08,2021
28320,17,Feb,08,2021
25479,18,Feb,08,2021
3,19,Feb,07,2021
20081,19,Feb,08,2021
38,20,Feb,07,2021
14975,20,Feb,08,2021
523,21,Feb,07,2021
9561,21,Feb,08,2021
5160,22,Feb,07,2021
4941,22,Feb,08,2021
2977,23,Feb,07,2021
1805,00,Feb,09,2021
1059,01,Feb,09,2021
1046,02,Feb,09,2021
1118,03,Feb,09,2021
1993,04,Feb,09,2021
3354,05,Feb,09,2021
6516,06,Feb,09,2021
12546,07,Feb,09,2021
19713,08,Feb,09,2021
23039,09,Feb,09,2021
25450,10,Feb,09,2021
24620,11,Feb,09,2021
23665,12,Feb,09,2021
26388,13,Feb,09,2021
25905,14,Feb,09,2021
25553,15,Feb,09,2021
24638,16,Feb,09,2021
27468,17,Feb,09,2021
25906,18,Feb,09,2021
21512,19,Feb,09,2021
2,20,Feb,08,2021
15545,20,Feb,09,2021
31,21,Feb,08,2021
10495,21,Feb,09,2021
