#Records,Hour,Month,Day,Year
61174,00,Jun,18,2021
39648,01,Jun,18,2021
22297,02,Jun,18,2021
17244,03,Jun,18,2021
20701,04,Jun,18,2021
26362,05,Jun,18,2021
37975,06,Jun,18,2021
1,07,Jun,17,2021
68190,07,Jun,18,2021
7,08,Jun,17,2021
126469,08,Jun,18,2021
231,09,Jun,17,2021
196876,09,Jun,18,2021
70930,10,Jun,17,2021
250546,10,Jun,18,2021
231118,11,Jun,17,2021
253600,11,Jun,18,2021
220199,12,Jun,17,2021
26680,12,Jun,18,2021
218056,13,Jun,17,2021
205777,14,Jun,17,2021
216854,15,Jun,17,2021
231917,16,Jun,17,2021
228097,17,Jun,17,2021
206052,18,Jun,17,2021
196504,19,Jun,17,2021
184046,20,Jun,17,2021
140789,21,Jun,17,2021
120643,22,Jun,17,2021
87158,23,Jun,17,2021
